image_id,engine,predicted_text,actual_text
001,paddleocr,"contains: water, sodium hypochlorite, fragrance","contains: water, sodium hypochlorite, fragrance"
001,doctr,"contains: water,sodium hypochlorite,fragrance","contains: water, sodium hypochlorite, fragrance"
001,tesseract,"o so hum a n ’ "". ‘ ' ’,.’h","contains: water, sodium hypochlorite, fragrance"
002,paddleocr,"ingredients:water, sodium laureth sulfate, sodium lauryl sulfate, cocamidopropyl betaine, sodium xylenesulfonate, glycol distearate, fragrance, sodium citrate, sodium chloride, dimethiconol, piroctone olamine, dimethicone, citric acid, sodium benzoate, guar hydroxypropyltrimonium chloride, tea-dodecylbenzenesulfonate, tetrasodium edta, trideceth-10, methylchloroisothiazounone, propylene glycol, methylisothiazolinone.","ingredients: water, sodium laureth sulfate, sodium lauryl sulfate, cocamidopropyl betaine, sodium xylenesulfonate, glycol distearate, fragrance, sodium citrate, sodium chloride, dimethiconol, piroctone olamine, dimethicone, citric acid, sodium benzoate, guar hydroxypropyltrimonium chloride, tea-dodecylbenzenesulfonate, tetrasodium edta, trideceth-10, methylchloroisothiazolinone, propylene glycol, methylisothiazolinone."
002,doctr,"ingredients:water, sodiumlaureth sulfate, sodiumlaurylsulfate, cocamidopropyl betaine, sodium xylenesulfonate, glycol distearate fragrance, sodium citrate, sodium chloride, dimethiconol piroctone olamine, dimethicone, citric acid, sodium benzoate, guar hydroxypropyltrimonium chloride, tea-dodecylbenzenesulfonate, tetrasodium edta, trideceth-10, methylchloroisothiazounone propylene glycol, methylisothiazolinone.","ingredients: water, sodium laureth sulfate, sodium lauryl sulfate, cocamidopropyl betaine, sodium xylenesulfonate, glycol distearate, fragrance, sodium citrate, sodium chloride, dimethiconol, piroctone olamine, dimethicone, citric acid, sodium benzoate, guar hydroxypropyltrimonium chloride, tea-dodecylbenzenesulfonate, tetrasodium edta, trideceth-10, methylchloroisothiazolinone, propylene glycol, methylisothiazolinone."
002,tesseract,"ingredients : water, sodium lauret) sodium lauryl sulfate, cocmaggpgggﬁm‘ betaine, sodium xylenesulfonate, glycol distearate, fragrance, sodium citrate, sodium chloride, dimethiconol, piroctone olamine. dimethicone, citric acid, sodium benzoate, guar hydroxypropyltrimonium chloride, tea-dodecylbenzenesulfonate, tetrasodium edta, trideceth-10, methylchloroisothiazolinone, propylene glycol, methylisothiazolinone.","ingredients: water, sodium laureth sulfate, sodium lauryl sulfate, cocamidopropyl betaine, sodium xylenesulfonate, glycol distearate, fragrance, sodium citrate, sodium chloride, dimethiconol, piroctone olamine, dimethicone, citric acid, sodium benzoate, guar hydroxypropyltrimonium chloride, tea-dodecylbenzenesulfonate, tetrasodium edta, trideceth-10, methylchloroisothiazolinone, propylene glycol, methylisothiazolinone."
003,paddleocr,"/thanh phan : water, , triethanolamine aun hogreddients:/ propane, fragrance, bht.","ingredients:/ thanh phan : water, triethanolamine pu stearic acid, laureth-23, butane, isobutane, sodium lar propane, fragrance, bht."
003,doctr,"menients/thanh phan: - water, triethan searicacid, laureth-23,butane, isobutane, sodi - pane fragrance, bht.","ingredients:/ thanh phan : water, triethanolamine pu stearic acid, laureth-23, butane, isobutane, sodium lar propane, fragrance, bht."
003,tesseract,"gits:/ thanh phan : water, triethangy 400d laureth-23, butane, isobutane sopyy .","ingredients:/ thanh phan : water, triethanolamine pu stearic acid, laureth-23, butane, isobutane, sodium lar propane, fragrance, bht."
004,paddleocr,"cocoamphodiacetate, cocamide dea, sodium chloride, copolymer, potassium cocoyl. glycinate, acrylates melaleuca alternifolia tea tree leaf oil, 1,2-hexanediol caprylyl glycol, hexylene glycol, disodium edta, niacinamide, salicylic acid; lactic acid, glycolic acid, melaleuca alternifolia (tea tree) extract, gluconic acid, mandelic acid, sodium hydroxide, lactobionic acid, sodium hyaluronate crosspolymer, anthemis nobilis flower extract, calendula officinalis flower extract, mentha piperita (peppermint) leaf extract, thymus vulgaris (thyme) extract, chrysanthemum parthenium feverfew) extract, lippia extract, urtica dioica nettle extract, ethyhexylglycerin, pentylene glycol, tocopherol, hydroxyacetophenone, potassium chloride","ingredients: water, cocamidopropyl, betaine, disodium cocoamphodiacetate, cocamide dea, sodium chloride, acrylates copolymer, potassium cocoyl glycinate, potassium cocoate, butylene glycol, triethanolamine, melaleuca alternifolia (tea tree) leaf oil, 1,2-hexanediol, caprylyl glycol, hexylene glycol, disodium edta, niacinamide, salicylic acid; lactic acid, glycolic acid, melaleuca alternifolia (tea tree) extract, gluconic acid, mandelic acid, sodium hydroxide, lactobionic acid, sodium hyaluronate crosspolymer, anthemis nobilis flower extract, calendula officinalis flower extract, mentha piperita (peppermint) leaf extract, thymus vulgaris (thyme) extract, chrysanthemum parthenium (feverfew) extract, lippia citriodora leaf extract, bellis perennis (daisy) flower extract, origanum vulgare leaf extract, salvia officinalis (sage) leaf extract, urtica dioica (nettle) extract, ethylhexylglycerin, pentylene glycol, hydroxyacetophenone, tocopherol, potassium chloride"
