image_id,engine,predicted_text,actual_text
001,paddleocr,"czigrat ingredients: palmolein oil, bengal gram potato, refined 1f flakes, potato starch, flour (besan), potato beans (moth dal) tapioca starch, tapary red chilli powder, flour, lodised salt, regulator (ins 330), black salt, acidity i pepper, clove, cardamom, dried black r, dried garlic powder, refined powder, ginger p sugar, cumin powder, bay leaves, nutmeg, cinnamon and mint leaves contains added natural, nature identical flavouring substances (mint) artificial allergy advice: may contain peanut, tree nuts, sesame seed, milk, soya, mustard seed & gluten","ingredients: potato, refined palmolein oil, bengal gram flour (besan), potato flakes, potato starch, tapioca starch, tapary beans (moth dal) flour, iodised salt, red chili powder, black salt, acidity regulator (ins 330), black pepper, clove, cardamom, dried ginger power, dried garlic powder, refined sugar, cumin powder, bay leaves, nutmeg, cinnamon and mint leaves contains added natural, nature identical & artificial flavouring substances (min) allergy advice: may contain peanut, tree nuts, sesame seed, milk, soya, mustard seed & gluten"
001,doctr,"ingredients: potato, refined palmolein oil, bengal gram flour (besan), potato flakes, potato starch, tapioca starch, tapary beans (moth dal) flour, lodised salt, red chilli powder, black salt, acidity regulator (ins 330), black pepper, clove, cardamom, dried ginger powder, dried garlic powder, refined sugar, cumin powder, bay leaves, nutmeg, cinnamon and mint leaves contains added natural, nature identical & artificial flavouring substances (mint) allergy advice: may contain peanut, tree nuts, sesame seed, milk, soya, mustard seed & gluten","ingredients: potato, refined palmolein oil, bengal gram flour (besan), potato flakes, potato starch, tapioca starch, tapary beans (moth dal) flour, iodised salt, red chili powder, black salt, acidity regulator (ins 330), black pepper, clove, cardamom, dried ginger power, dried garlic powder, refined sugar, cumin powder, bay leaves, nutmeg, cinnamon and mint leaves contains added natural, nature identical & artificial flavouring substances (min) allergy advice: may contain peanut, tree nuts, sesame seed, milk, soya, mustard seed & gluten"
001,tesseract,"-— u n l'!\ gl ""'tlt ingredients: potato, refined palmolein oil, bengal gram flour (besan), potato flakes, potato stareh, tapioca starch, tapary beans (moth dal) flour, lodised salt, red chilli powder, black salt, acidity regulator (ins 330), black pepper, clove, cardamom, dried ginger powder, dried garlic powder, refined ~ sugar, cumin powder, bay leaves, nutmeg, cinnamon and mint leaves contains added natural, nature identical & artificial flavouring substances (mint) allergy advice: may contain peanut, tree nuts, sesame seed, milk, soya, mustard seed & gluten","ingredients: potato, refined palmolein oil, bengal gram flour (besan), potato flakes, potato starch, tapioca starch, tapary beans (moth dal) flour, iodised salt, red chili powder, black salt, acidity regulator (ins 330), black pepper, clove, cardamom, dried ginger power, dried garlic powder, refined sugar, cumin powder, bay leaves, nutmeg, cinnamon and mint leaves contains added natural, nature identical & artificial flavouring substances (min) allergy advice: may contain peanut, tree nuts, sesame seed, milk, soya, mustard seed & gluten"
002,paddleocr,"ingredients: milk solids, common salt, spices & condiments (1%), permitted stabilizer (e 460(i)). for identification of manufacturing unit,","ingredients: milk solids, common salt, spices & condiments (1%), permitted stabilizer (e 460(i)). for identification of manufacturing unit,"
002,doctr,"ingredients: milk solids,common soi spices 8 condiments à (1%),permitted stabilizer - (e 460(i). foridentification ofmanufacturing unit,","ingredients: milk solids, common salt, spices & condiments (1%), permitted stabilizer (e 460(i)). for identification of manufacturing unit,"
002,tesseract,; i m 'y,"ingredients: milk solids, common salt, spices & condiments (1%), permitted stabilizer (e 460(i)). for identification of manufacturing unit,"
003,paddleocr,"carbonated water ingredients: carbonated water, sugar, acidity regulators (330, 331). preservative (211). contains added flavours (natural flavouring substances) cdcmy","carbonated water ingredients: carbonated water, sugar, acidity regulators (330, 331). preservative (211). contains added flavours (natural flavouring substances)."
003,doctr,"carbonated water ingredients: carbonated water, sugar, acidity regulators (330, 331), preservative added flavours (natural (211). contains flavouring substancesi.","carbonated water ingredients: carbonated water, sugar, acidity regulators (330, 331). preservative (211). contains added flavours (natural flavouring substances)."
003,tesseract,"carbonated water ; ingredients: carbonated water, sugar, acidity [regulators l(,m, 3:%, preservative éﬂf} contains § added flavours (natural flavourinc substances:","carbonated water ingredients: carbonated water, sugar, acidity regulators (330, 331). preservative (211). contains added flavours (natural flavouring substances)."
004,paddleocr,"ingredients water, mango pulp (19.5 %), sugar, acidity regulators is33, is. evative nsi antioxidant(ins300). contains permitted synthetic food colour avatual flavouring substances (mango)) (ins-international numbering system).","ingredients water, mango pulp (19.5%), sugar, acidity regulators [ins330, ins331(iii)], preservatives (ins211, ins224, ins202) and antioxidant (ins300). contains permitted synthetic food colour (ins110) and added flavour [nature-identical flavouring substances (mango)] (ins-international numbering system)."
